0,1,2,3,4,5,label,path
0.99997866,5.095979e-06,3.766936e-06,4.4157914e-06,2.9029645e-06,5.1730312e-06,0,../data/dataset/train/0/0772176001.jpg
0.9999788,6.3437246e-06,3.1271677e-06,4.0784516e-06,2.377459e-06,5.3202884e-06,0,../data/dataset/train/0/0482199001.jpg
0.99992037,2.17127e-05,1.5078049e-05,1.4980485e-05,1.063502e-05,1.7304106e-05,0,../data/dataset/train/0/0799365027.jpg
0.99994063,1.4772901e-05,8.577511e-06,1.0790401e-05,7.1975737e-06,1.8040833e-05,0,../data/dataset/train/0/0834229001.jpg
1.0,9.569805e-09,7.331157e-09,1.03000115e-08,4.6007336e-09,1.1445892e-08,0,../data/dataset/train/0/0469562065.jpg
0.99999714,7.451998e-07,4.61074e-07,5.5872323e-07,3.2687464e-07,7.744885e-07,0,../data/dataset/train/0/0779341003.jpg
0.9999968,9.159776e-07,5.02851e-07,6.0602156e-07,3.5777475e-07,8.1563735e-07,0,../data/dataset/train/0/0837306001.jpg
0.9999913,2.3806106e-06,1.2617177e-06,1.5766794e-06,1.0761437e-06,2.3540113e-06,0,../data/dataset/train/0/0791746001.jpg
0.9999981,6.009617e-07,2.8383982e-07,3.9510778e-07,2.3814157e-07,4.7354595e-07,0,../data/dataset/train/0/0484767008.jpg
0.99997914,5.222708e-06,3.6563727e-06,4.2143997e-06,2.680721e-06,5.1319057e-06,0,../data/dataset/train/0/0838726006.jpg
0.9999993,1.8604115e-07,1.1915163e-07,1.6207373e-07,8.429197e-08,1.8468317e-07,0,../data/dataset/train/0/0779781013.jpg
0.9999615,1.0015652e-05,6.900595e-06,7.22513e-06,5.2744813e-06,9.120721e-06,0,../data/dataset/train/0/0779781007.jpg
0.99999845,4.2023336e-07,2.5892592e-07,3.9482543e-07,1.7322283e-07,3.9925672e-07,0,../data/dataset/train/0/0832381001.jpg
0.9999993,1.634984e-07,1.1139918e-07,1.4691531e-07,7.510364e-08,1.6629198e-07,0,../data/dataset/train/0/0249136006.jpg
0.99999774,5.3654963e-07,3.7250794e-07,4.927672e-07,2.4874112e-07,6.1456257e-07,0,../data/dataset/train/0/0832616001.jpg
0.99998665,4.649258e-06,2.0396963e-06,2.2520157e-06,1.7141076e-06,2.7115032e-06,0,../data/dataset/train/0/0792071005.jpg
0.99996495,9.843638e-06,6.325152e-06,6.4416117e-06,4.421065e-06,8.013313e-06,0,../data/dataset/train/0/0831412002.jpg
0.9999826,4.979512e-06,2.6290234e-06,3.5504493e-06,2.4288163e-06,3.821502e-06,0,../data/dataset/train/0/0416157018.jpg
0.9999864,3.25719e-06,2.1971991e-06,2.6286298e-06,1.7582822e-06,3.7314533e-06,0,../data/dataset/train/0/0775579002.jpg
0.9999938,1.5898422e-06,1.0118526e-06,1.283054e-06,7.9254846e-07,1.5347814e-06,0,../data/dataset/train/0/0156610010.jpg
0.999961,1.0092873e-05,6.4643746e-06,7.465782e-06,5.231322e-06,9.744619e-06,0,../data/dataset/train/0/0834192001.jpg
0.9998431,4.421933e-05,2.5673393e-05,2.7955564e-05,2.2730403e-05,3.6328518e-05,0,../data/dataset/train/0/0835376002.jpg
0.9999976,5.725381e-07,3.9889787e-07,6.283281e-07,2.7611512e-07,5.808903e-07,0,../data/dataset/train/0/0775382001.jpg
0.9998387,3.7342965e-05,3.5466885e-05,3.057944e-05,2.3158687e-05,3.4745623e-05,0,../data/dataset/train/0/0834270001.jpg
0.99998856,3.300527e-06,1.8308059e-06,2.306333e-06,1.4456867e-06,2.598987e-06,0,../data/dataset/train/0/0416157025.jpg
0.9999981,5.097539e-07,2.9613238e-07,3.9663036e-07,2.2835637e-07,5.494377e-07,0,../data/dataset/train/0/0796973001.jpg
0.99997616,7.0852648e-06,3.4437553e-06,4.855223e-06,3.143839e-06,5.310658e-06,0,../data/dataset/train/0/0416157019.jpg
0.99999523,1.2982543e-06,6.94873e-07,9.850128e-07,5.4958963e-07,1.1193264e-06,0,../data/dataset/train/0/0831412003.jpg
0.99993086,2.2093296e-05,1.0603716e-05,1.2404746e-05,9.262557e-06,1.4781971e-05,0,../data/dataset/train/0/0792071004.jpg
0.9999999,2.385078e-08,1.33573e-08,1.750514e-08,7.806179e-09,2.116741e-08,0,../data/dataset/train/0/0838340001.jpg
0.9998165,4.5830053e-05,3.2532764e-05,3.5740166e-05,2.743306e-05,4.2066007e-05,0,../data/dataset/train/0/0799972001.jpg
0.99998,5.1665543e-06,3.2162852e-06,3.886235e-06,2.4767187e-06,5.2237087e-06,0,../data/dataset/train/0/0831398001.jpg
0.9999958,1.0330918e-06,6.8742e-07,8.439637e-07,5.197055e-07,1.0802822e-06,0,../data/dataset/train/0/0779781006.jpg
0.9999329,1.8044344e-05,1.2361619e-05,1.2499178e-05,9.0735775e-06,1.5096439e-05,0,../data/dataset/train/0/0777038002.jpg
